iter	Passed	Remaining
0	138	68975
1	141	35147
2	143	23848
3	146	18173
4	149	14784
5	152	12526
6	154	10906
7	157	9682
8	160	8737
9	162	7972
10	165	7353
11	168	6834
12	170	6395
13	173	6018
14	175	5690
15	178	5406
16	181	5155
17	184	4931
18	186	4733
19	189	4555
20	192	4391
21	195	4242
22	197	4104
23	200	3980
24	203	3862
25	206	3757
26	208	3659
27	211	3573
28	215	3492
29	217	3413
30	220	3341
31	223	3268
32	226	3202
33	229	3141
34	232	3084
35	235	3029
36	238	2978
37	241	2932
38	244	2888
39	247	2845
40	250	2805
41	254	2779
42	258	2744
43	261	2708
44	264	2675
45	267	2643
46	271	2612
47	274	2582
48	277	2554
49	280	2528
50	284	2502
51	287	2478
52	291	2454
53	294	2430
54	297	2407
55	301	2386
56	304	2364
57	307	2343
58	310	2323
59	314	2303
60	317	2284
61	320	2266
62	324	2248
63	327	2230
64	330	2214
65	334	2201
66	338	2188
67	340	2163
68	343	2148
69	347	2134
70	350	2120
71	354	2106
72	357	2092
73	361	2079
74	364	2066
75	367	2052
76	371	2040
77	374	2028
78	378	2016
79	381	2004
80	385	1991
81	388	1979
82	391	1969
83	395	1957
84	398	1946
85	402	1935
86	405	1924
87	408	1914
88	412	1903
89	415	1893
90	418	1882
91	422	1872
92	425	1861
93	428	1852
94	432	1842
95	435	1832
96	439	1824
97	442	1815
98	445	1806
99	449	1797
100	452	1788
101	456	1779
102	459	1771
103	462	1762
104	466	1754
105	470	1748
106	473	1740
107	477	1733
108	481	1725
109	484	1718
110	488	1710
111	491	1702
112	494	1694
113	498	1687
114	502	1680
115	505	1674
116	509	1667
117	512	1660
118	516	1653
119	519	1646
120	523	1639
121	527	1633
122	530	1626
123	534	1620
124	537	1613
125	541	1606
126	544	1599
127	548	1593
128	551	1586
129	555	1579
130	558	1572
131	561	1566
132	565	1559
133	568	1553
134	572	1546
135	575	1540
136	578	1533
137	582	1527
138	585	1521
139	589	1515
140	592	1509
141	596	1502
142	599	1496
143	602	1490
144	606	1484
145	609	1478
146	613	1472
147	616	1467
148	620	1461
149	623	1455
150	627	1449
151	630	1443
152	634	1438
153	637	1432
154	641	1426
155	644	1421
156	647	1415
157	651	1410
158	654	1404
159	658	1399
160	661	1393
161	665	1387
162	668	1382
163	672	1377
164	675	1371
165	678	1366
166	682	1360
167	685	1355
168	689	1349
169	692	1344
170	695	1338
171	699	1333
172	702	1328
173	706	1323
174	709	1317
175	713	1313
176	717	1309
177	721	1304
178	724	1299
179	727	1294
180	731	1289
181	734	1282
182	737	1277
183	740	1272
184	742	1265
185	746	1260
186	749	1255
187	753	1250
188	756	1245
189	760	1240
190	763	1235
191	767	1231
192	771	1227
193	775	1223
194	779	1218
195	782	1213
196	785	1208
197	789	1203
198	792	1199
199	796	1194
200	799	1189
201	803	1184
202	806	1179
203	810	1175
204	813	1170
205	816	1165
206	820	1160
207	823	1156
208	827	1151
209	830	1146
210	833	1142
211	837	1137
212	841	1133
213	844	1128
214	847	1124
215	851	1119
216	855	1115
217	858	1110
218	862	1106
219	865	1101
220	869	1097
221	872	1092
222	876	1088
223	879	1083
224	883	1079
225	886	1075
226	890	1071
227	894	1066
228	898	1062
229	901	1058
230	905	1054
231	908	1050
232	912	1045
233	916	1041
234	920	1037
235	924	1033
236	928	1029
237	931	1025
238	935	1021
239	939	1017
240	943	1013
241	946	1009
242	950	1005
243	954	1001
244	958	997
245	962	993
246	966	989
247	970	985
248	974	981
249	977	977
250	981	973
251	985	969
252	988	965
253	992	961
254	996	957
255	999	952
256	1003	948
257	1007	944
258	1011	940
259	1014	936
260	1017	932
261	1021	927
262	1024	923
263	1028	919
264	1031	914
265	1035	910
266	1038	906
267	1042	902
268	1045	897
269	1048	893
270	1052	889
271	1055	885
272	1059	880
273	1062	876
274	1066	872
275	1069	867
276	1073	863
277	1076	859
278	1080	855
279	1083	851
280	1087	847
281	1091	843
282	1094	839
283	1098	835
284	1101	831
285	1105	827
286	1109	823
287	1112	819
288	1116	815
289	1119	810
290	1123	806
291	1126	802
292	1130	798
293	1133	794
294	1137	790
295	1141	786
296	1144	782
297	1148	778
298	1151	774
299	1155	770
300	1158	766
301	1162	761
302	1165	757
303	1169	753
304	1172	749
305	1176	745
306	1179	741
307	1183	737
308	1186	733
309	1190	729
310	1193	725
311	1197	721
312	1200	717
313	1204	713
314	1207	709
315	1211	705
316	1214	701
317	1218	697
318	1221	693
319	1225	689
320	1228	685
321	1232	681
322	1235	677
323	1239	673
324	1243	669
325	1246	665
326	1250	661
327	1253	657
328	1257	653
329	1260	649
330	1264	645
331	1267	641
332	1271	637
333	1274	633
334	1278	629
335	1281	625
336	1285	621
337	1288	617
338	1292	613
339	1295	609
340	1299	605
341	1302	601
342	1306	598
343	1309	594
344	1313	590
345	1317	586
346	1320	582
347	1324	578
348	1327	574
349	1331	570
350	1334	566
351	1338	562
352	1341	558
353	1345	554
354	1348	550
355	1351	546
356	1355	542
357	1358	539
358	1362	535
359	1365	531
360	1369	527
361	1372	523
362	1376	519
363	1379	515
364	1383	511
365	1386	507
366	1390	503
367	1393	499
368	1397	495
369	1400	492
370	1403	488
371	1407	484
372	1410	480
373	1414	476
374	1417	472
375	1421	468
376	1424	464
377	1428	460
378	1431	457
379	1435	453
380	1438	449
381	1442	445
382	1445	441
383	1449	437
384	1452	433
385	1456	430
386	1459	426
387	1463	422
388	1466	418
389	1470	414
390	1473	410
391	1477	406
392	1480	403
393	1484	399
394	1487	395
395	1491	391
396	1494	387
397	1497	383
398	1501	380
399	1505	376
400	1508	372
401	1512	368
402	1515	364
403	1519	361
404	1522	357
405	1526	353
406	1529	349
407	1533	345
408	1536	341
409	1540	338
410	1543	334
411	1546	330
412	1550	326
413	1553	322
414	1557	318
415	1560	315
416	1564	311
417	1568	307
418	1571	303
419	1574	299
420	1577	296
421	1580	292
422	1584	288
423	1587	284
424	1590	280
425	1594	276
426	1597	273
427	1600	269
428	1604	265
429	1607	261
430	1611	257
431	1614	254
432	1617	250
433	1621	246
434	1624	242
435	1628	238
436	1631	235
437	1635	231
438	1638	227
439	1642	223
440	1645	220
441	1649	216
442	1652	212
443	1656	208
444	1659	205
445	1663	201
446	1666	197
447	1670	193
448	1674	190
449	1677	186
450	1681	182
451	1684	178
452	1687	175
453	1691	171
454	1694	167
455	1698	163
456	1701	160
457	1705	156
458	1708	152
459	1711	148
460	1715	145
461	1718	141
462	1722	137
463	1725	133
464	1729	130
465	1732	126
466	1736	122
